17,Egypt,EgyptianPremierLeague,67120000,487,36070000,490,-31050000,2018
18,Ukraine,PremierLiga,67030000,269,88040000,271,21010000,2018
19,UnitedStates,MajorLeagueSoccer,66440000,330,58390000,369,-8050000,2018
20,Italy,SerieB,50040000,837,83500000,822,33460000,2018
21,Qatar,QatarStarsLeague,49490000,146,6280000,250,-43210000,2018
22,Germany,2.Bundesliga,9260000,279,109500000,306,70240000,2018
23,Scotland,ScottishPremiership,26950000,261,39360000,265,12410000,2018
24,Spain,LaLiga2,24220000,520,85980000,598,61760000,2018
25,Switzerland,SuperLeague,23780000,214,80930000,189,57150000,2018
33,Croatia,1.HNL,2880000,336,78400000,316,65530000,2018
1,England,PremierLeague,640220000,525,428910000,551,-211310000,2011
2,Italy,SerieA,621280000,1174,547710000,917,-73570000,2011
3,Spain,LaLiga,398120000,352,314230000,360,-83890000,2011
4,France,Ligue1,246940000,313,184560000,307,-62380000,2011
5,Germany,Bundesliga,222420000,276,190770000,275,-31650000,2011
6,Russia,PremierLiga,146800000,164,19100000,98,-127700000,2011
7,Turkey,SüperLig,128900000,420,94460000,413,-34440000,2011
8,Portugal  ,LigaNOS,117630000,569,135890000,524,18260000,2011
9,Brazil,BrasileiroSérieA,94880000,801,106580000,850,11700000,2011
10,England,Championship,76740000,696,142290000,772,65550000,2011
11,Netherlands, Eredivisie,69140000,259,123720000,300,54580000,2011
12,Ukraine,PremierLiga,60980000,299,35810000,303,-25170000,2011
13,China,Chinese ChineseSuperLeague,47130000,195,10410000,187,-36720000,2011
14,Italy,SerieB,44080000,783,71050000,756,26960000,2011
15,Belgium,JupilerProLeague,39700000,323,100650000,312,60950000,2011
16,Saudi Arabia,SaudiProfessionalLeague,25850000,175,12660000,179,-13190000,2011
17,Qatar,QatarStarsLeague,24870000,106,2500000,96,-22370000,2011
18,France,Ligue2,21600000,290,71500000,346,49900000,2011
19,Greece,SuperLeague,15010000,376,20940000,380,5930000,2011
20,Romania,Liga1Betano,13390000,458,16040000,400,2650000,2011
21,Argentina,PrimeraDivisión,13090000,371,45600000,401,32510000,2011
22,Germany,2.Bundesliga,10740000,259,24310000,271,13570000,2011
23,Switzerland,SuperLeague,9020000,186,37110000,188,28080000,2011
24,Scotland,ScottishPremiership,8100000,235,17800000,284,9700000,2011
25,SouthKorea,KLeague1,7950000,335,9720000,363,1770000,2011
34,Croatia,1.HNL,5520000,426,9320000,423,3800000,2011
